translated_content,sentiment
"He had an I5 4550 and as he felt the difference, the use with his base clock and not overclocked until now, but without complaint, if I recommend it",negative
I've bought a CD because I don't know what I'm doing.,neutral
"What to say.. Intel surprises me ever more. 3.80ghz of departure and brought to 4.1ghz without the minimum effort. And as described, I'm sure it would arrive quietly at 5.1",positive
"Fast and efficient. If you want to overclock, in recommend to install Intel(R) Extreme Tuning Utility",positive
"So far as I've worked well, I'll get before I wait.",positive
"Very good processor for gambling, it's not the best but it's pretty good and I'm happy with it.",positive
"I've got my 10700K for a month. I paid it with a brand new Assus Maximus XII Extreme and kept my 2080 ROG. If you're planning on overclocking, I'll just say, pick this up and you won't regret it. If you're not speed-chasing, it's worth the extra money going to the 10900K. If you're overclocking, I personally believe the money-performance ratio is the 10700K on top. But, speed-chasing would pick up the 10900K. As expected, time is a little hotlocking. I spent up to 5.1Hz and left voltage on adaptives.",positive
"If after a few years, I'd also get up and it was surprising that this CPU was relatively cheap for nearly 300€. I have directly added and I'm excited about performance and performance. I'd buy it again at any time. Clear shopping recommendation.",positive
"AMD chips are impossible to buy at sensitive prices. This is last year's Intel i7, the price is OK (silicon prices are very high at the moment) and this is a very capable chip for gambling.",positive
Upgrade of my configuration to new socket and power I bought this K version for just the power delivery very fast. It arrived after 3 days,positive
"I cleaned this processor directly from Amazon on 27th for $387. I've been using it for 144p 144hz gambling and this processor barely blinks and eyes. It has handled anything I can throw at it with complete ease, I'm still to see it get close to it anywhere near full load. I paid it with a night sky cooler and it keeps the chip very cool. My intention in getting this chip is to ""future test"" my chip as much as possible. I got from a 2500K chip, so I want to last, I really regret not having got the 2600K (8 logic colours) at the time that would have last me more than the 2500K, and I've kept it pretty much longer than the 2500K.",positive
It's very good processor and very quit. run so gently.,positive
Gamer,neutral
"I got the product with the open box and other processor that doesn't fit... I'm not the only one that's happened to you, looking for comments there are other people with the same problem.",positive
"Good/fast CPU with no ""real"" packaging but it was ~£25 caper than those listed with a box!Who needs a Box eh!",negative
"Using intelligence i9 is overkill for players...thats why I bought the i7, even on stock speed its very powerful if you partner it whitej a powerful graphics card.",positive
"Great performance as expected from a K-class CPU, smooth installation, no frills.",positive
It's best there's for gambling and came before the plan.,positive
"One of the best intelligent processors present on the market, according to his brother's larger i9-10900k that is currently practically feasible. There is not much to add on this processor sample! Excellent!",positive
"Classic Intel quality. No game layer even with a GTX 750 (CURRENT YOU SCALPERS!!!) Blows AMD out of the water in single thread performance, depending on how the game/program is coded to work Heavily Moded Minecraft and vitally fashioned DayZ play perfectly, my friends with AMD systems are yellow!",positive
"I've only bought this year, but Win11 doesn't seem to move.",neutral
"The product has arrived in complete, perfectly packaged. Once installed it worked immediately without any problems. I am very satisfied.",positive
Lots of power for its price. Easy to overclock on my Assus Mobo. Max 75C with 35% O/C under load air cooled.,positive
bought for my service because he enjoys using it to play games,neutral
Aerial stability at 5.2 Ghz,neutral
"At top. it is not easy to stabilize a 5Ghz with an Ass Tuf Gaming z490 wifi, but once well configured it is top.",positive
And a worthy upgrade to my get 6 i7 yet that still pretty good all,positive
"Intel I7 procs are still priced a bit higher than they should be for these older 10 series, but this is a good proc non-ethels.",positive
"Despite the fact that Ryzen processors can have the cut, for my upgrade, I have stayed with Intel once more. Not exhausted from performances and complete my profile with a mother card Asus Tuf Gaming Z490-Plus WiFi, SSD M2 WD, a PSU Corsair RM650, Assual RTX 2060 OC and RAM 2x8G Kingston 3200 Predator. Very quick and fast in my games. Very pleased with my choice to install a new machine.",positive
"This is not the latest model, but it's the most expensive. It's expected that intel will change significantly in the next 12th century.",positive
I had a quality problem with this product and the customer service team immediately replaced me. Great courtesy and professionalism.,positive
"The cpu came into a comical cloth that was inside a normal papal chair, which is not so confidential, if the product is in order",positive
"The best processor ever purchased, floating packaging! Perfect box all ok. Amazon number 1",positive
Upgraded my machine from 10th with I5. Runs DCS very smoother (?),positive
"When a good idea is gone, with many processors now using stock overclocks, you can benefit a lot by choosing a better CPU cooler. I actually thought it was midway since the Thermaltake Silence 12 is rated for 150w. I thought I could go with a 30 cooler since I am planning on overclocking. That cooler could not even keep up with CPU settings. In Benchmarks the 80-Celse up to 90.",positive
Exactly WhatI paid for,positive
It feels pretty nice to double my core and triad counts with this CPU from the 6700k. I currently have mine overclock at a push-pull radar system and I'm maxing in the 70s as far as temperature goes.,positive
seller is trash as he will message you back when you want to send it back,neutral
It's rock solid profile on the RAM and a small cache overclock. This thing absolutely crosses my previous I7-7000k CPU and I noticed a big difference in FPS in quite a few games.,negative
"Got the CPU on primary day for sale. I didn't actually need the K variant because I don't plan on overclocking but it was actually hungry than the F variant during the sale. So far it's been working wonderfully, with no issues and I saved $127. Big upgrade from an i5-4570. For gambling processes this chip is probably a little overkill but it was so get I couldn't pass it up. However since I had to change the mother board and all it's components for it, which all were not on sale, I still up spending $670 for this chip. Debate if it was really about it but I'm happy with the performance.",positive
"Zero issues installing and running it on a Gigabyte Vision G motherboard. Using a relatively cheap Enermax 120mm Liquid Cooler, and not overclocked, the CPU idles around 30 deg C, and under full load, I have still to have it go over 55. Using a mid totect case with lots of airflow too.",positive
"I like the delivery being really fast. I measured up on the payment info and wasn't able to get it the same day like promised but Amazon got it to me next morning instead. So, that was nice and I appreciated the fact that they got it to me as fast even though they probably could have just said, ""No, you didn't pay anyway, so not the same day shipping."" So, that was nice.",positive
"I know this chip is on its way out, but if you're looking at this and the price is right, it's a good CPU. With a Be Quit! cooler my time is good even under constant load. One thing Intel does that Puts AMD to Shame is the integrated graphics. Especially right now when there are no graphics cards, this will get you a working desktop. I intend to upgrade to a Ryzen 5800X from my Ryzen 3600 this year, but my GTX 1070Ti did and I was left with a broken desktop. I opted to get this so I could not play and the Intel graphics makes the perfect fallback.",positive
only thing is the seller doesn't say it's a used product. when I received the product the box was old looking with wear.,positive
I have been a computer Enthusiast for a while. I have had several different platforms including both AMD and INTEL. I graduated from a 7700k. The 7700k's 4 colours and 8 threads started to show its age with the latest push for higher core accounts. I discussed getting an AMD 3300x. The appal of 10 colours and 20 threads was great and but at the sacrifice of core watches. I am a little heart and I cleaned the 10700k.,positive
"I bought this along with the MSI Z490 Unify as an upgrade from my Ryzen 7 3700X. This thing is an absolute monster that runs any game I throw at it at 144fps if my gpu can keep up. It's crazy. People told me I wouldn't see many winning from Ryzen but in some of my favorite games I was getting 60%+ higher frames. Games perform amazingly well and I notice my loading screens all seem more than 20% faster than my old chip as well. Everything is just bigger and faster, there's less waiting time, and I didn't have any bios issues or anything at all.",positive
would've been better value when I bought them if Intel didn't cut support for quicksync,positive
"Installation went smooth using this 10700k in a rig with a 2060 super and it is cruising fps numbers. I always play fast paced shooters and want as many frames as possible and this thing does not disappear. Come from a rose 3770x. Value and CSGO frames are very high, and I never get any slow down or mouse input it feels great! So a lot of people said this new Intel ran very hot and I don't even hit over 65c at full load having it overclocked to 5.2ghz. Now i do have one of the best AIR coolers out there even if you have a cooler that is not looking at safe and normal time even when overclocked to 5.2 gz.",positive
"I love this processor, awarded itss a lot of upgrade about what I had previously but even with that in mind I still think this is an impressive unit. The base clock of 3.8 is pretty fast already under load with no doubting it would reach and keep 4.6 no problem and with windows performance profiles it achieves 5.0 with ease, and that's with no overclocking.",positive
"I just got into PC building, there are so many chips on the market after 100's of hours watching everyone's favorite youtubers I learned one thing... A lot of chips fit the specs for what you need lol.",positive
"Put in an MSI Z470 slide, just finished so don't know about the playing yet, just know it runs super-fast and super cool, water cooled with a courser 280mm radiator.",positive
I bought this to upgrade my gambling PC and without even running a gambling app I can already tell the speed is much better than my i7-6700k. Things that would require 50% of my processor use take less than 10% on my cpu load. Only big down side is you have to get a new motherboard for this type of socket LGA1200 or something and it requires more power from your supply so make sure you have the equipment necessary before building.,positive
"The i7-10700k is a fantastic CPU for the money. I upgraded from an i5-4690 (locked, non-K) and can immediately tell a difference in a lot of games I play. My GPU (EVGA RTX 2060) is not bottlenecked by the CPU anymore. Don't believe all the things you read about Intel 10thgen chips running hot either. I have this installed in an ITX case with a night air cooler and idle time are between 28-31C. Load time don't go over 60C. It also reaches 5.1GHZ out of the box, no overclock required.",positive
"Got this cpu as an upgrade from an i7700 during 2021, it has been a huge upgrade for gambling. I have never overclocked it and has been used in a deep cool rgb cooler, the only downside for my unit is that it has reached high but still normal temperature (82 degrees Celsius)",positive
"Compare this with a Critical BX500 1TB SSD, CORSAIR VENGEANCELPX 64GB RAM and the ASUS Prime H510M-E mother board. The Move video editor now loads a file ready for editing in less than 4 seconds (my previous setup with 32Gb RAM used to take 90 seconds).",negative
"Good processor.bang for bugs.everday use for office work is good enough. If you want to play games also best.if you add a good GPU like rx570,rx 580, GTX 1660 super,you achieve better gaming experience. I play gta 5 without dedicated graphics card I was getting fps around 30-40fps on 720p resolution with Intel ud 630 graphics which is playable.",positive
"I like in 10000Rs segment processor 1. Built 4k support no need for Graphic Card for basic stuff like web browsing, ms office, watching 4k video at 60fps (tested from OnePlus 6T 4k@60FPS ) buttery sweet in playback 2. base speed is 3.60ghz 3. support 2666hz Ram 4 power consumption is 65w which is good comparison to old model 8th gen which consumption is 95w 5. I am editing 4k@60 in Adobe primer for smooth use HyperX 2666 DDR4 32GB RAM 6. SketchUp, AutoCAD 3D,Photoshop,Corel Draw works very good while you have ssd and more frame configuration with this processor is 3.",positive
Satifactory normal work performance.,positive
Good One,positive
"If you're going to beat your 8th have i7 friend, where is the deal. 10th gene 4/8 core/thread with 4.3Ghz boost clock won't be a bottleneck for even rtx 2080 t. I can see that my i3 10100 is charged at 30% load when my rx 580 is struggling 100% to catch up with the while gambling.",neutral
Great work with gigabyte h460m motherboard with courser 8gb ram... Stilt powerful performance so graphics is so good..,positive
Processor box was already open. But thank God processor was damaged.,neutral
Compare 7-8 to i7... 4 colors 8 threads just works amazing.,positive
Very safe packaging and good performance,positive
Awesome for gambling pair with gtk 1660s or gtk 1650s,positive
I'm sorry.,negative
Worth for every penny!!!,positive
Good processor in this price,positive
Value for money. It was a very smooth processor works.,positive
"4 core 8 threads doing a wonderful job, supports Intel optane and multitasking. Good for playing as well it's like earlier Generation i7 but with less l3 cache. Instructions set are good as well.",positive
Best for Gaming,positive
Nice CPU,positive
I must say that Amazon service is cool but vendor who supplied the expensive product is really Fraud. Amazon packaging was also but product factory seal was already broken and its duplicate/used product has been supplemented. Return was successful. Thanks to Amazon!,positive
Very good product,positive
Excellent Performance,positive
able to take the job that was given!! working very well with no issues at all!,positive
"This review covers 3 main items (CPU, MOBO, RAM). Links to the other parts are included (all available at Amazon for good). You'll read this review on each of the other parts as well.",positive
Equal to i7 of the seventh generation and i5 of the ninth generation. Excellent cost. Onboard record ensures most of the games in low resolution. controller up to DDR4 2666. If you want DDR4 3200 better go to the 11th generation or top. It supports well a GTX 1660 super. It is not a top machine but solves muuuit.,positive
"I've had many different processors in the past. I find this 10100 one in particular, to give me the biggest band for my bug! You have to spend out a bit more to get more performance, and even then you'd only get like 15 to 25% more. The performance per CPU of this beauty is fantastic, plus you get more than much performance when running many threads.",positive
"So do a great cpu, take a while to deliver but not to bath. In terms of operation it's been perfect so far, clocked to 4.1ghz per core / thread. Deals everything perfect so far (GTA 5 and Fifa 2020) and for the price even with shipping to the uk was very cheap then I thought.",positive
"So when you buy this product from your son's PC (I used LGA775), you're going to start by buying it.",neutral
"I have pc gambling, I come from a Feo Pentium 4600 processor who ran the games, but until now, it's all I could do, I couldn't do but play and I couldn't do streaming anymore, I couldn't go into a dispute to platinum or be in communication, nothing, I had to do something at the same time, I bought this processor.. And literally, the beginning of 25 seconds to 6.5 seconds (siiii, it's very different) and now I can make streaming and be in focus while playing no problems nor anything, superpower to be an i3 and run the games in 60fps without problems at full hd (I have a 1050ti nvidia)",positive
"Payed 125 euros. An entry level quad core, a new chippet lga 1200. Intel, with this range, has made a nice jump forward and in the entry level market he has firmly placed himself in front of old rizens cars. I have built a building for domestic/small office use with a few hundred euros, and the result has been more excellent! I remember that for those who are looking for a decent building (not voted for gaming), this is a great choice, considering also the integrated graphics that saves on the video card. And for those who wanted to afford a bit of playtime, here strong and similar titles do not make a difference. The only sin (but the period is that) is that they find little price cards at 1200.",positive
"Not only does this CPU have impressive advertising species for gambling, but it's also great for a daily driver computer. Buy this for an office computer built, and it turned out perfect. Boots in 11 seconds, fast opening of Chrome tabs, and programs, and even works for light gambling with it's iGPU.",positive
Play Video This processor is demoted well as running the delivery to more than 60 fps even though in the video it is worth 40 and 30 fps it can be said that these low fps are why it was my first game but after 1 more game the game was 60 and 75 fps,positive
"Be using intelligence i3 cpu as I just need a simple computer to surf net, and play some simple games. The internal graphics is enough to power my needs.",neutral
"The package arrived through post-postino, it was perfectly packed with the Amazon applied roof, when I went to open the discovered amara, inside there was only the dissipator and no CPU.... After some check of the adapter to the call center I was issued a good pair of values. I had a rough four-hour, but soon solved by the call center.",positive
"From hard disk to SSD, it was speeding up using video cards.",negative
"Build a computer for the relative as a very early Christmas gift or a reverse birthday gift (my birthday, but I give you gifts), which honestly would be doing very little with it core/8 thread current generation processor if it's web browsing, videoconferencing, YouTube for music and the general e-mailing stuff. I put an RX 580 in it well 2666 DDR4 Ram and 2 500GB HDs. I would definitely say the thing itself is console and above performance with a simple GPU, and it'll destroy on a much more advanced GPU.",positive
"No display on 8 out of 10 three. Even with display, it did not get past BIOS stage. Probably only solved with installing and entering-level graphics cards. Problem is either this CPU or the mobile: MSI MAG B460M MORTAR WIFI Gaming Motherboard (matX, 10th Gen Intel Core, LGA 1200 Socket, DDR4, CFX, Dual M.2 Slots, USB 3.2 Gen 1, 2.5G LAN, DP/HDMI.",negative
"This is a 10th generation Intel CPU and was the most up to date CPU so that I could get the most value for my money. The pricing on this is very competitive and it has good speed and doesn't get too hot. I am a new CPU builder and installation this on my Mobo (Gigabyte b460m ds3h) was a five and easy enough to understand. I think it's not ideal for gambling and I just use it for office work, but the included, integrated graphics was part of what sold me here because I didn't need a bulky GPU and could save some money there too. All in all, good CPU for the price and performance is competitive for business work 4.5/5.",positive
I just wanted to upgrade my PC so I could properly load windows 11. This was perfect for what I needed. Give me the ability to upgrade with breaking the bank.,positive
It's usually used. It's not playable enough.,negative
"The product comes well, at the moment it's working wonderfully, at least I use it for PC work with documents and play well, I haven't tried it for games.",negative
"But if you don't have to do a heavy game or a heavy treatment, you don't feel like you're not satisfied with the way you're said to be weak.",negative
excellent,positive
"So, this is basically an i7-7700, the specs are almost identical. That's the beauty of Intel, this year's i3 is an i7 from a few years back. This has a couple tricks that the i7 doesn't, like UHD graphics instead of just HD and being able to overclock to a slightly higher frequency, but otherwise it's the same chip for a fraction of the price. I put this in a computer that I use mostly for surfing the web and watching videos, and it doesn't let me down. It's super responsive and the included graphics are a nice option if you don't want to mix with a graphics card.",positive
"Excellent if you only want to use Office and Navigation on the Internet, send e-mails. Very fast and the price is quite economic.",positive
Works good.would recommend pairing it with something like 1050ti,neutral
"Good processor for the price, according to videos I saw before buying it, is equivalent to an i7 7700 in gambling, and i7 7700 in my city, second hand costs about 4500, and without a teacher, I am happy to use it with a gtx 1070 msi gambling quick silver, and cpu goes around 35-40% use and gpu 97-100%",positive
"I've had this CPU since April, and it's been great. Although it can only run games on very low settings, its amazing. The stock cooler keeps the CPU below 63 degrees, I've never seen it go about 70 degrees Celsius. Above all, this CPU is awesome, if you can afford a GPU right now this is the CPU for you.",positive
"The power from phenom (K10) was converted into a low-loaded power supply of 10W that was best suited to the network. To use it, it's better to buy from the old Pascons. It's good to have 6-7 generations of i7 (6700k, 7700). It's a good time to compete with this power at the Ryzen station.",positive
"I bought this to go into a desktop as a gift to my parents. The processor has 4 colours and 8 threads, and is very fast. It should be enough processor for them for many years. The main reasons I decided to buy this over an AMD processor: * This processor comes with an iGPU and since it won't be used for gambling it is getting more than a comparable 3300x + GPU combo. * I wanted to port their existing hard disk over to the new machine, and using this processor allowed me to buy a 16GB Intel optical chip for 20. The Intel optan chip was excellent for their needs. AMD's current caching product that does something similar to an AMD processor: * This processor comes with an iGPU and won't be used for making it better than any other use of it. I can't buy it. I've been able to buy it at least $3.",positive
Ok,positive
"Very high frequency and 4 colors CPU for a cheap price. Best price/performance ratio. Used for school, videos and light to medium gaming. No need to spend too much when you can match it with a GTX 1070 or equivalent and play any game out there",positive
"He's a very good processor, you don't have to be fooled, even though he's shutting down as the low range of his generation, he has enough power for many users who start at PC Gaming, recommended for the first collection of someone who has no experience.",positive
"Not a great CPU for gambling, will max out on most games. Great CPU for productivity, not waiting around for typical tasks, lighting fast. Low power consumption, 20W the entire computer when idle. I'd recommended pitching in the extra 50$ for a 6 core if anything more than productivity.",positive
It's a very good processor that will serve you for essential activities but allows you to start burning your own PC and then update it to an i5 or an i7,positive
"Since 4coa4slides became 4coa8slides from 4coa4s, grabo is GTX1650.",neutral
Excellent product,positive
"For a budget CPU this schedules, on par with a old 7700K ( google it ) 4 colours and 8 threads make a great budget gambling CPU, pair it up with some DDR 2666 and a nice 1660 super and it is quite capable of 90 FPS in shadow of the tomb radar. Runs cool and quiet while saving power, sure the 3300x beats it, assuming you can even buy one Intel has one Huge advantage over AMD, Stability, what good is sped if your system has errors, usb issues, memory issues, no Intel is the king of stability!",positive
"He's a basic processor, but he meets the expectations for students or things that don't need enough performance!",neutral
I'm impressed by this “small” processor that makes some “large” generation of the previous generation at an unprecedented price. I use it with my 1660 super for games and this combination and perfect with high-end FPS games in ultra-full HD,positive
"IT acts as if it was an 8 core cpu, i have a 9700k on my main rig and this one performances about the same, the only difference is the speed core on my 9700k is set at 5.1GHz, but it does really matter to be honest and don't think its worth to pay the extra for a speed that you even wanted notice. Unless you are looking to buy a cpu for making probably you should go for higher than cpu's like AMD. If you are purely looking for a budget cpu for gambling This is your best option, I paid this cpu with a 2070s super and it gives me the 5-6 fps less I get on my AC 9700k at Valhalla. If you are just looking for the game, get a",positive
"Play Video Purchased the least expensive Core i3 CPU just to get my Z490 built up-and-run. At the time, LGA 1200 Core i7 and i9 CPUs were either impossible or terribly overpriced (by resellers). But now this CPU has powered my Z490 system for a while, I am amazed at how good it is. See Bill McDonald's excellent comments expressing the same opinion. My DDR4 RAM is stable at 3600 MHz (XMP) and Gaming at 1080p is identical. And though I've got it water cooled, that's clear enough as it never gets hot -- even under load. Full discount: I am using a separate GPU (graphics card) for while it's",negative
"I bought this CPU a couple months ago and forgot to work a review on it. So here it is! This CPU has treated me super well! When all threads are at 100% load the CPU runs at around 4.07 GHz but when one thread is being used at 100% the CPU will tend to jump around 4.2 or 4.25 GHz. Having 4 colors and 8 threads is really nice since my CPU only had 2 colours and 4 threads so it was a nice jump. But the stock cooler on this CPU can get a but noise, and when the CPU is at 100% load across all colours and threads the time don't hold up very well. But I highly recommended this CPU for people that want to build a budgeting PC or a single PC!",positive
"Its good for, watching TV and playing Roblox with the integrated graphics. Nothing more asking you will need a GPU.",positive
"For a little over a hundred bucks this thing does a good job. I was working with an amd fx 6300 for many years. Here are my numbers on three very different games at 1080p using an AMD rx 570 as the gpu (my frames are locked at 60 in most cases) Monster Hunter World (high settings) Before: 30-45 After: constant with no drops Ashes of the singularity (benchmark) Before: low stress 55-60, medium stress 20 After: low stress 60+, medium 50, high stress 40 Minecraft (fast+optiffin 12 renders) Before: 60, but with anxiety on charging after:",positive
"I like the Core i3 processor for basic systems doing web browsing, core office applications and general computing and basic photo editing. These desktop Core i3 processors are quad Core and 8 threads, which back in the old days was what a Core i5 would provide. Search a processor is great for basic computing and when their prices are reasonable.",positive
"Ordered this bcuz of the price without realizing this cpu was one of a kind able to compete with modern cpu at a fraction of the cost minds first and only high performance budget cpu, it deals everything I threw at it and surprise works without swallowing ~>5-10% up to a gtk 2060, for that price this was a perfect cleaning",positive
"Believe it or not this entry level 10100 is only 13% off from their flagship CPU the 10,900. For just over $120 this thing is absolutely a",positive
"I built a SFF PC, and I wanted something low power (quiet) that could drive qty 3, 4k monitors. This CPU worked great combined with the ASRock Z490 itx/tb3 parentboard. It has no problem action all my desktop apps, it's very responsive. PC power consumption at the plug is around 24W idle with screens on and 10Gb Ethernet card, and the fans are tired. My previous SFF PC had a X470 and Ryzen CPU. I had tons of problems with USB compatibility and the power consumption was higher. I still have a Ryzen in my homelab server, and for that's great, but I think Intel still hold the lead for low power and compatibility.",positive
I was shocked to see how much performance this CPU can get you for such a low price. I did a Budget PC Build 10 months ago and was shocked to see such a high clock for that price. Even now when I have upgraded to a RTX 3060 It doesn't bottle yet much at a. It is a really capable CPU to go with if it is your first PC Build or you have to do a budget build.,negative
"After checking reviews I though this would have been on par with the 3200g. I put fast ram 3600 and better MB, Tuff Gaming B560M-PLUS WiFi. 650w PSU with the 10100. Comparable to my other PC which has a GIGABYTE GA-A320M-S2H MB and a 3200g 550w PSU ram destroys this in performance. Load times and games. I should mention I picked up the 3200g before the cpu prices were insane for 160cad.",negative
This feels stronger than any other processor I have used in the past and I can feel the difference using even mid-tier business grade laptops search as a Lenovo I have for work with a Russian 5 for which feel noticeable slower on my laptop (I know is not the same) but itss the only thing I can compare it to. I have used it for light gambling and the works great (With a graphics card of course) integrated graphics searches lol.,positive
"I got this at $115. It's basically just an i7-7700 with slightly less cache. It won't even exceed the 65w TDP limit. It will turbo to 4.1ghz all-core all the time. You won't find a better CPU currently around $100. AMD has nothing that exists in reality due to supply issues. Next step up is the i5-10400F for 50 more at $165. And again, AMD has nothing until $200 price point. If you're paring this with anything RTX 3070 or less, it will be perfect.",positive
"I was building a surprise system for an old friend whose current PC was quite old. He did basic computing tasks and did not require a mega machine., That said, I paid this CPU with 16 GB of memory and an M.2 Nvme drive. Yes a bit overkill for basic tasks, but his is like to do some light gaming so I made sure he had head room to handle it. The PC booted consistently under 19 seconds and performances very well. I would definitely buy this again.",positive
"For light gambling and a low building, it's perfectly fine. Integrated graphics aren't bad and really surprised me now. I've run Hello, Rocket League, Fortnite, and a couple more on low settings without issue. Doesn't get too hot during heavy use either. The included cooler is a big plus, and is super easy to install, just pop some tabs in. I've had it running for a month now with no issues.",positive
This has 25% more speed on my old CPU and works fine for light video production and running Virtual machines... with on board graphics it saved buying an extra card. Power consumption and heat were low and the FLYS when running Pop OS... now my only issues was that it got a panic installing Qubes.... will update when I try out Haiku OS. It runs rarely VM's at the same time without hanging or slowing. For a hundred bucks is an absolute steel.,positive
"The i5-10400 crosses the i3-10100 in real world use for only a little more money. If you are going to do anything that's CPU intensive, like gambling, photo/video editing, content creation, etc., spending a few more dollars for the i5-10400 or i5-11400 which is even better. If you just want a cup CPU for your LGA120000 motherboard consider the much less expensive G5905 or similar. Intel is unfortunately reducing their offers for desktop CPUs. The 13th Gen series doesn't even have an i3 let less expensive options (the least available retail for DIY buildings). But, IMHO, this chip is a",negative
"I'm not a gamer, I edit and create videos. I paired this CPU with an ASUS Prime B560M_A motherboard. I'm using the cooling of that came with it. So no problems with any excess heat. It does get 111f or 44c at the highest charge so far. Very fast and nice budget built! Ken S.",positive
"Looks like the people think this processor isn't worth, but, they are very wrong. This is probably the best purchase processor in the world, and better if you compare vs AMD version Ryzen 3 3000g. May be i5 10th is worth more than this, but this is very great for a purchase build.",positive
Stock cools it end,neutral
"I used this processor on a building for my daughter. I put it on an MSI Z490 A Pro main board w/ 16 GB of memory and doing that put me in the 7 seconds club. Push the power button and 7 seconds later, the machine is booted. Other 2 seconds and you're on the Internet. So no bottle necks are similar. Considering that it's not a high end processor, it is impressive",positive
"If you are looking for a nice budget CPU for gambling and every day use, look now further. Intel has upped their game with this CPU and it plays far better than I expected. It is highly recommended.",positive
It was very good for my 10 - year - old brother and he did his job well.,positive
"Build a gambling PC for my daughter without any prior experience. This was easy to install, priced right a great product!",positive
"This works really well for basic home use, web browsing, and a pleasure media server. I couldn't comment on its use in gambling but general purpose processing it does well.",positive
"After options were sold out from the ""other"" competing brand, I was able to find the 10100 on sale for a great price. It wasn't my first choice, but after building a system with it am quite happy with the results. It runs cool and efficiently, even with the stock heating. I would recommend this CPU to anyone looking for an entry level productivity or gaming machine (when paired with a discreet graphics card).",positive
Great processor was not expecting the performance from a 4 core/8 thread running at 3.6G. Rated 4 stars because of packaging. I received the cpu in a thin bag with no bubble wrap or any protection inside. Lucky the cpu and box was unmapped. Would of received 5 stars with better shipping materials.,positive
Great processor for low to mid end gambling and on a budget. Best for 1080p gambling on medium to high settings for most games when paired with something like a GTX 1060 Got it for a good price with the federal options as more than likely you need a motherboard to go with it. Just know with most systems the RAM will be limited to 2666 mz speed.,positive
"This is the best performing CPU I've had in this price range. If you look for a cheap CPU to put with a GTX 1650, look no more. This CPU cruises Ryzen 3 3200G and Ryzen 3 3100 and comes power close, in gambling to the Ryzen 3300X. The CPU runs cool. It's 3.6 Ghz base speed makes this chip super snappy gaming and general use. A+ rating all the way!!!",positive
"Upgraded from an i3 -8800 and it is a world of difference. I play cs : go and value. I went for 60 percent use to 25 percent. I wanted to get a Ryzen 3600, but at 105 dollars and a b-460 board it was under $180. Easy install and set up! Benchmarks show it on par with i7-470.",positive
"I arrive relatively fast, has a good price, although the request with the pile of the card that even remains can be said to be literally an i7 7700 only a little better, as well as if we compare your direct competence to RYZE 3 3100 or 3300X we can say that first is cheaper and secondly there is stock.",positive
"Powered small processor for the amount of money I spend on it. Replaced my i3-6100 with this. Using it right now to type this review. Plays most of my current lineup of games, although in full dysloure I haven't tested it out on the most recent batch (watch_dogs legion, or any other recent AAA). Plays Assassin's believed Syndicate OK and that game's a hot month.",positive
"It works well to move heavy games like Cyberpunk and red dead redemption, it's accompanied by a 1660gtx",negative
Good cpu for use office PC,positive
"Play Video Butt this for an entry level playing PC. I've had no problem running decent games with it. MSI mini atx motherboard, Intel I3 10100, GTX 1060 GPU, 550 W PSU and 16 GB RAM. Running at around 80-90 fps",positive
10100 is easily the best budget cpu on the market. The value is amazing and is great for office pcs because of the integrated graphics.,positive
"Not sure what to say, my boyfriend's friend told me to buy this for my PC so I would recommend it.",negative
An excellent product for $110 being a little better than the i7-7700 cpu that costs at least 3 hours as much. I bought this product because the LGA1200 socket went to be compatible with Intel's 11th generation in 2021 and then I will be buying an i5-11th by the end of next year.,positive
You won't be smashing the latest games or solving any unsolved math theories with this cpu. It's a good starter though.,positive
Great little cpu with decent gpu on chip. Can rum ps3 emulator and below with no external gpu required. Played Person 5 on emulator no problems. Even run dragon question 11 well at 720p low.,positive
"Very good processor, better than an i7-7700 and hungry, I use it with an msi motherboard, without any failure, my games run at high fps. I am very comfortable with this processor, I did not have any problems with errors or glitches.",positive
"Performance, Quality, Speed,Value for Money is Good",positive
must be with the work is good.,positive
Better than 10th has I5 10600. What do you ask for? Motherboards are really price now a days.,positive
"These who are looking for budget processor for 'base use ', they can go for it. This processor is perfect for them. simply don't waste your money on high end processor, which may not be required for your work.",positive
Find Work,neutral
This processor can run gta 5 at 29-30 fps with 8gb Frame and no graphics card!,neutral
Once it was delivered... and unboxed the processor it has a broken sheet...,negative
affordable gaming CPU. marginal performance improvement compare 12100 with ass h610 & 16gb 3000hz ram to my i3 3570 3rd gene with B75 parentboard & 8gb 1600hz ram on PUBG 10-20 fps increase.( crucial SSD and 1660 graphics card) but smooth no layer will install windows11 and see better get 12400 or 12600 for gaming or white 13th gene i5,positive
"Can't run even a small game, hangs all the time. But it's with graphics processor but graphics doesn't work properly. It is with graphics processor in name only.",negative
"With a basic power of 6W and a turbo of 89W the CPU is silenced.It is obvious that if it goes up to 100 per cent in the multi-cent in the case of Ventolin Stock one sitting but, at my notice, ACCOMETABLE.With CINEBENCH 2024 it is 60 degrees max with a HTPC(air flow n'ecceno) case and say otherwise!Possibilities of something DDR5 up to 4800MHZ.conclusion:propossions to your country.",neutral
"Great for general use and gambling, boosts nice and quick without generating too much heat. Integrated graphics are useful for when a dedicated video card is not available.",positive
High Quality,positive
It can do anything but I have chosen it for its vitilization capabilities,neutral
